slice,signed_contrast,n,p_right_mouse,p_right_model,model,condition
block_0.8,0.25,65,0.676923076923077,0.6114656906574965,pc,history_only
block_0.8,1.0,70,0.8285714285714286,0.8360246694779822,pc,history_only
all,-1.0,356,0.0898876404494382,0.3878317078094134,bayes,history_only
all,-0.25,348,0.13505747126436782,0.38025395156837055,bayes,history_only
all,-0.125,406,0.2019704433497537,0.37927193983728663,bayes,history_only
all,-0.0625,335,0.31044776119402984,0.3803585100529799,bayes,history_only
all,-0.0,713,0.41374474053295934,0.5117420231894725,bayes,history_only
all,0.0625,377,0.5755968169761273,0.6430199371566823,bayes,history_only
all,0.125,386,0.7150259067357513,0.6387261471908945,bayes,history_only
all,0.25,337,0.8367952522255193,0.646225391934109,bayes,history_only
all,1.0,361,0.9335180055401662,0.6383898918648506,bayes,history_only
block_0.2,-1.0,60,0.25,0.4733484424650669,bayes,history_only
block_0.2,-0.25,55,0.23636363636363636,0.4855444425886328,bayes,history_only
block_0.2,-0.125,70,0.44285714285714284,0.4891303798982075,bayes,history_only
block_0.2,-0.0625,66,0.5757575757575758,0.5066401881702018,bayes,history_only
block_0.2,0.0,323,0.5263157894736842,0.6316388219871757,bayes,history_only
block_0.2,0.0625,261,0.6168582375478927,0.6736217080633302,bayes,history_only
block_0.2,0.125,279,0.7598566308243727,0.666703812003563,bayes,history_only
block_0.2,0.25,243,0.8765432098765432,0.6727405715381167,bayes,history_only
block_0.2,1.0,262,0.9541984732824428,0.6633804327886523,bayes,history_only
block_0.5,-1.0,47,0.02127659574468085,0.4317313572193714,bayes,history_only
block_0.5,-0.25,22,0.22727272727272727,0.4377573389898647,bayes,history_only
block_0.5,-0.125,41,0.2926829268292683,0.4457676105382966,bayes,history_only
block_0.5,-0.0625,30,0.4666666666666667,0.42805302937825523,bayes,history_only
block_0.5,-0.0,70,0.5285714285714286,0.5274883238332612,bayes,history_only
block_0.5,0.0625,44,0.5681818181818182,0.6195315325802023,bayes,history_only
block_0.5,0.125,37,0.7567567567567568,0.5872154992979925,bayes,history_only
block_0.5,0.25,29,0.8620689655172413,0.6394955608351477,bayes,history_only
block_0.5,1.0,29,1.0,0.6271345718153591,bayes,history_only
block_0.8,-1.0,249,0.0642570281124498,0.3589389865178181,bayes,history_only
block_0.8,-0.25,271,0.1070110701107011,0.35421686105402633,bayes,history_only
block_0.8,-0.125,295,0.13220338983050847,0.3439620642338769,bayes,history_only
block_0.8,-0.0625,239,0.2175732217573222,0.3394989856366832,bayes,history_only
block_0.8,0.0,320,0.275,0.38727668863721193,bayes,history_only
block_0.8,0.0625,72,0.4305555555555556,0.5464425426390436,bayes,history_only
block_0.8,0.125,70,0.5142857142857142,0.5544422256095068,bayes,history_only
block_0.8,0.25,65,0.676923076923077,0.5501019528278938,bayes,history_only
block_0.8,1.0,70,0.8285714285714286,0.5495167855705534,bayes,history_only
all,-1.0,356,0.0898876404494382,0.10686884112551473,standard,full_information
all,-0.25,348,0.13505747126436782,0.14122114117971846,standard,full_information
all,-0.125,406,0.2019704433497537,0.22627449067415017,standard,full_information
all,-0.0625,335,0.31044776119402984,0.3297359014082867,standard,full_information
all,0.0,713,0.41374474053295934,0.4716945427187769,standard,full_information
all,0.0625,377,0.5755968169761273,0.6370063879766775,standard,full_information
all,0.125,386,0.7150259067357513,0.7223022143848704,standard,full_information
all,0.25,337,0.8367952522255193,0.8712387726993165,standard,full_information
all,1.0,361,0.9335180055401662,0.9425868158360268,standard,full_information
block_0.2,-1.0,60,0.25,0.21728719784102093,standard,full_information
block_0.2,-0.25,55,0.23636363636363636,0.25330020284957505,standard,full_information
block_0.2,-0.125,70,0.44285714285714284,0.4639738617331854,standard,full_information
block_0.2,-0.0625,66,0.5757575757575758,0.5675775589999941,standard,full_information
block_0.2,0.0,323,0.5263157894736842,0.6337440032857952,standard,full_information
block_0.2,0.0625,261,0.6168582375478927,0.6755918993318446,standard,full_information
block_0.2,0.125,279,0.7598566308243727,0.763096964420704,standard,full_information
block_0.2,0.25,243,0.8765432098765432,0.9056649269390499,standard,full_information
block_0.2,1.0,262,0.9541984732824428,0.9539868546692469,standard,full_information
block_0.5,-1.0,47,0.02127659574468085,0.09521677172643707,standard,full_information
block_0.5,-0.25,22,0.22727272727272727,0.2811364237727089,standard,full_information
block_0.5,-0.125,41,0.2926829268292683,0.3084476276459854,standard,full_information
block_0.5,-0.0625,30,0.4666666666666667,0.4982883995243659,standard,full_information
block_0.5,0.0,70,0.5285714285714286,0.5898708039628607,standard,full_information
